sample,fastq_1,fastq_2,antibody,control
LuCaP_58_H3K27me3,/data/LGCP/freedman-chip/sra-files/SRR13105426_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105426_2.fastq.gz,H3K27ME3,LuCaP_58_INPUT
LuCaP_78_H3K27me3,/data/LGCP/freedman-chip/sra-files/SRR13105428_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105428_2.fastq.gz,H3K27ME3,LuCaP_78_INPUT
LuCaP_81_H3K27me3,/data/LGCP/freedman-chip/sra-files/SRR13105429_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105429_2.fastq.gz,H3K27ME3,LuCaP_81_INPUT
LuCaP_92_H3K27me3,/data/LGCP/freedman-chip/sra-files/SRR13105430_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105430_2.fastq.gz,H3K27ME3,LuCaP_92_INPUT
LuCaP_93_H3K27me3,/data/LGCP/freedman-chip/sra-files/SRR13105431_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105431_2.fastq.gz,H3K27ME3,LuCaP_93_INPUT
LuCaP_145.1_H3K27me3,/data/LGCP/freedman-chip/sra-files/SRR13105422_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105422_2.fastq.gz,H3K27ME3,LuCaP_145.1_INPUT
LuCaP_173.1_H3K27me3,/data/LGCP/freedman-chip/sra-files/SRR13105424_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105424_2.fastq.gz,H3K27ME3,LuCaP_173.1_INPUT
LuCaP_77_H3K27me3,/data/LGCP/freedman-chip/sra-files/SRR13105427_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105427_2.fastq.gz,H3K27ME3,LuCaP_77_INPUT
LuCaP_136CR_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105356_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105356_2.fastq.gz,H3K27AC,LuCaP_136CR_INPUT
LuCaP_141_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105358_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105358_2.fastq.gz,H3K27AC,LuCaP_141_INPUT
LuCaP_145.1_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105359_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105359_2.fastq.gz,H3K27AC,LuCaP_145.1_INPUT
LuCaP_176_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105366_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105366_2.fastq.gz,H3K27AC,LuCaP_176_INPUT
LuCaP_189.4_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105368_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105368_2.fastq.gz,H3K27AC,LuCaP_189.4_INPUT
LuCaP_35_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105369_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105369_2.fastq.gz,H3K27AC,LuCaP_35_INPUT
LuCaP_49_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105370_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105370_2.fastq.gz,H3K27AC,LuCaP_49_INPUT
LuCaP_58_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105371_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105371_2.fastq.gz,H3K27AC,LuCaP_58_INPUT
LuCaP_81CR_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105378_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105378_2.fastq.gz,H3K27AC,LuCaP_81CR_INPUT
LuCaP_81_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105379_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105379_2.fastq.gz,H3K27AC,LuCaP_81_INPUT
LuCaP_86.2_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105380_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105380_2.fastq.gz,H3K27AC,LuCaP_86.2_INPUT
LuCaP_93_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105382_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105382_2.fastq.gz,H3K27AC,LuCaP_93_INPUT
LuCaP_136_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105357_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105357_2.fastq.gz,H3K27AC,LuCaP_136_INPUT
LuCaP_145.2_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105360_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105360_2.fastq.gz,H3K27AC,LuCaP_145.2_INPUT
LuCaP_167_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105361_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105361_2.fastq.gz,H3K27AC,LuCaP_167_INPUT
LuCaP_170.2_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105362_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105362_2.fastq.gz,H3K27AC,LuCaP_170.2_INPUT
LuCaP_170.3_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105363_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105363_2.fastq.gz,H3K27AC,LuCaP_170.3_INPUT
LuCaP_173.1_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105364_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105364_2.fastq.gz,H3K27AC,LuCaP_173.1_INPUT
LuCaP_173.2_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105365_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105365_2.fastq.gz,H3K27AC,LuCaP_173.2_INPUT
LuCaP_189.3_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105367_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105367_2.fastq.gz,H3K27AC,LuCaP_189.3_INPUT
LuCaP_70CR_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105372_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105372_2.fastq.gz,H3K27AC,LuCaP_70CR_INPUT
LuCaP_70_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105373_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105373_2.fastq.gz,H3K27AC,LuCaP_70_INPUT
LuCaP_77CR_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105374_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105374_2.fastq.gz,H3K27AC,LuCaP_77CR_INPUT
LuCaP_77_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105375_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105375_2.fastq.gz,H3K27AC,LuCaP_77_INPUT
LuCaP_78CR_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105376_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105376_2.fastq.gz,H3K27AC,LuCaP_78CR_INPUT
LuCaP_78_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105377_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105377_2.fastq.gz,H3K27AC,LuCaP_78_INPUT
LuCaP_92_H3K27ac,/data/LGCP/freedman-chip/sra-files/SRR13105381_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105381_2.fastq.gz,H3K27AC,LuCaP_92_INPUT
LuCaP_35_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105398_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105398_2.fastq.gz,FOXA1,LuCaP_35_INPUT
LuCaP_77CR_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105403_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105403_2.fastq.gz,FOXA1,LuCaP_77CR_INPUT
