ont_id,clean_names,DOI,gene_name
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,ABCC4
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,ACSL3
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,ADAM7
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,C1ORF116
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,CENPN
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,EAF2
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,ELL2
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,FKBP5
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,GNMT
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,HERC3
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,KLK2
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,KLK3
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,MAF
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,MED28
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,MPHOSPH9
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,NKX3–1
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,NNMT
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,PMEPA1
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,PTGER4
AR activity,AR activity,https://doi.org/10.1038/s41467-021-25624-1,ZBTB10
AR full length (ARFL),AR full length (ARFL),https://doi.org/10.1038/s41467-021-25624-1,ADAM9
AR full length (ARFL),AR full length (ARFL),https://doi.org/10.1038/s41467-021-25624-1,SLC50A1
AR full length (ARFL),AR full length (ARFL),https://doi.org/10.1038/s41467-021-25624-1,RAB4A
AR full length (ARFL),AR full length (ARFL),https://doi.org/10.1038/s41467-021-25624-1,PHF8
AR full length (ARFL),AR full length (ARFL),https://doi.org/10.1038/s41467-021-25624-1,PARVA
AR full length (ARFL),AR full length (ARFL),https://doi.org/10.1038/s41467-021-25624-1,NRARP
AR full length (ARFL),AR full length (ARFL),https://doi.org/10.1038/s41467-021-25624-1,NFIX
AR full length (ARFL),AR full length (ARFL),https://doi.org/10.1038/s41467-021-25624-1,MYO1B
