"","Loading","PC1.v","PC2.v"
"131","NEIL3",0.026232607,0.013865751
"132","GPC2",0.026187329,0.001330613
"133","ADCYAP1",0.026187264,0.007299009
"134","TPX2",0.02617589,0.01358687
"135","TMEM179",0.026153012,-0.011980024
"136","GNG4",0.026148233,-0.024447882
"137","ESPL1",0.026129987,0.011318546
"138","UNC79",0.026109994,-0.001613607
"139","CCDC150",0.026098426,0.009574566
"140","GTSE1",0.026076596,0.012633203
"141","CKAP2L",0.025907455,0.013308486
"142","CACNA1B",0.025784191,-0.019047799
"143","BIRC5",0.025665986,0.014237242
"144","SLC6A17",0.025615763,-0.004050466
"145","EXO1",0.025562543,0.012147673
"146","SKA1",0.025543659,0.011532269
"147","NMU",0.025523034,0.011673715
"148","11-Mar",0.025514491,-0.00328761
"149","E2F2",0.025497911,0.012420383
"150","PEX5L",0.025492333,-0.002039919
"151","GAD2",0.025461678,0.002138438
"152","TRIM9",0.025440854,-0.002777661
"153","UHRF1",0.025433479,0.010308735
"154","ZMAT4",0.025428277,-0.00952463
"155","CDC25C",0.025396723,0.010491879
"156","B4GALNT4",0.025329191,-0.014069482
"157","SVOP",0.02529139,-0.00733936
"158","FAM111B",0.025226838,0.008477165
"159","AMER3",0.0252208,-0.008231857
"160","DEPDC1",0.025202738,0.003016846
"161","DLX1",0.025201526,-0.015546174
"162","CLSPN",0.025199765,0.013448373
"163","GAD1",0.025190414,-0.001619565
"164","ECSCR",0.025161691,0.001797609
"165","MAGEA3",0.025086844,0.008801293
"166","SLC6A5",0.025086352,0.003093616
"167","BUB1B",0.025054748,0.009578833
"168","FBXO43",0.025000449,0.002549383
"169","NCAPG",0.024968511,0.011809504
"170","CDC20",0.024935495,0.013548279
"171","FAM72C",0.024819559,0.013349171
"172","TTK",0.024762201,0.006521639
"173","KIF2C",0.024754455,0.01068075
"174","NKAIN2",0.024710569,-0.001077294
"175","SPC25",0.024599225,0.013052517
"176","RRM2",0.024576038,0.016180851
"177","SYT13",0.024476395,-0.01426286
"178","ATP1A3",0.024472387,0.007683316
"179","RNF183",0.024457536,0.002019636
"180","DPF1",0.024396261,0.003486403
