ont,gene
Hmark_IFNg,RIPK1
Hmark_IFNg,RIPK2
Hmark_IFNg,RNF213
Hmark_IFNg,RNF31
Hmark_IFNg,RSAD2
Hmark_IFNg,RTP4
Hmark_IFNg,SAMD9L
Hmark_IFNg,SAMHD1
Hmark_IFNg,SECTM1
Hmark_IFNg,SERPING1
Hmark_IFNg,SLAMF7
Hmark_IFNg,SLC25A28
Hmark_IFNg,SOCS1
Hmark_IFNg,SOCS3
Hmark_IFNg,SOD2
Hmark_IFNg,SP110
Hmark_IFNg,SPPL2A
Hmark_IFNg,SRI
Hmark_IFNg,SSPN
Hmark_IFNg,ST3GAL5
Hmark_IFNg,ST8SIA4
Hmark_IFNg,STAT1
Hmark_IFNg,STAT2
Hmark_IFNg,STAT3
Hmark_IFNg,STAT4
Hmark_IFNg,TAP1
Hmark_IFNg,TAPBP
Hmark_IFNg,TDRD7
Hmark_IFNg,TNFAIP2
Hmark_IFNg,TNFAIP3
Hmark_IFNg,TNFAIP6
Hmark_IFNg,TNFSF10
Hmark_IFNg,TOR1B
Hmark_IFNg,TRAFD1
Hmark_IFNg,TRIM14
Hmark_IFNg,TRIM21
Hmark_IFNg,TRIM25
Hmark_IFNg,TRIM26
Hmark_IFNg,TXNIP
Hmark_IFNg,UBE2L6
Hmark_IFNg,UPP1
Hmark_IFNg,USP18
Hmark_IFNg,VAMP5
Hmark_IFNg,VAMP8
Hmark_IFNg,VCAM1
Hmark_IFNg,WARS
Hmark_IFNg,XAF1
Hmark_IFNg,XCL1
Hmark_IFNg,ZBP1
Hmark_IFNg,ZNFX1
IFNsig_Reactome,AAAS
IFNsig_Reactome,ADAR
IFNsig_Reactome,ARIH1
IFNsig_Reactome,B2M
IFNsig_Reactome,CAMK2A
IFNsig_Reactome,CAMK2B
IFNsig_Reactome,CAMK2D
IFNsig_Reactome,CD44
IFNsig_Reactome,CIITA
IFNsig_Reactome,DDX58
IFNsig_Reactome,EGR1
IFNsig_Reactome,EIF2AK2
IFNsig_Reactome,EIF4A1
IFNsig_Reactome,EIF4A2
IFNsig_Reactome,EIF4A3
IFNsig_Reactome,EIF4E
IFNsig_Reactome,EIF4E2
IFNsig_Reactome,EIF4E3
IFNsig_Reactome,EIF4G1
IFNsig_Reactome,EIF4G2
IFNsig_Reactome,EIF4G3
IFNsig_Reactome,FCGR1A
IFNsig_Reactome,FCGR1B
IFNsig_Reactome,FLNB
IFNsig_Reactome,GBP1
IFNsig_Reactome,GBP2
IFNsig_Reactome,GBP4
IFNsig_Reactome,GBP5
IFNsig_Reactome,GBP6
IFNsig_Reactome,GBP7
IFNsig_Reactome,HERC5
IFNsig_Reactome,HLA-A
IFNsig_Reactome,HLA-B
IFNsig_Reactome,HLA-C
IFNsig_Reactome,HLA-DPA1
IFNsig_Reactome,HLA-DPB1
IFNsig_Reactome,HLA-DQA1
IFNsig_Reactome,HLA-DQA2
IFNsig_Reactome,HLA-DRB1
IFNsig_Reactome,HLA-DPB1
IFNsig_Reactome,HLA-DRB5
IFNsig_Reactome,HLA-F
IFNsig_Reactome,HLA-G
IFNsig_Reactome,HLA-K
IFNsig_Reactome,ICAM1
IFNsig_Reactome,IFI27
IFNsig_Reactome,IFI35
IFNsig_Reactome,IFI6
IFNsig_Reactome,IFIT1
IFNsig_Reactome,IFIT2
IFNsig_Reactome,IFIT3
IFNsig_Reactome,IFITM1
IFNsig_Reactome,IFITM2
IFNsig_Reactome,IFITM3
IFNsig_Reactome,IFNA1
IFNsig_Reactome,IFNAR1
IFNsig_Reactome,IFNAR2
IFNsig_Reactome,IFNB1
IFNsig_Reactome,IFNGR1
IFNsig_Reactome,IFNGR2
IFNsig_Reactome,IP6K2
IFNsig_Reactome,IRF1
IFNsig_Reactome,IRF2
IFNsig_Reactome,IRF3
IFNsig_Reactome,IRF4
IFNsig_Reactome,IRF5
IFNsig_Reactome,IRF6
IFNsig_Reactome,IRF7
IFNsig_Reactome,IRF8
IFNsig_Reactome,IRF9
IFNsig_Reactome,ISG15
IFNsig_Reactome,ISG20
IFNsig_Reactome,JAK1
IFNsig_Reactome,JAK2
IFNsig_Reactome,KPNA1
IFNsig_Reactome,KPNA2
IFNsig_Reactome,KPNA3
IFNsig_Reactome,KPNA4
IFNsig_Reactome,KPNA5
IFNsig_Reactome,KPNB1
IFNsig_Reactome,MAPK3
IFNsig_Reactome,MT2A
IFNsig_Reactome,MX1
IFNsig_Reactome,MX2
IFNsig_Reactome,NCAM1
IFNsig_Reactome,NEDD4
IFNsig_Reactome,NUP107
IFNsig_Reactome,NUP133
IFNsig_Reactome,NUP153
IFNsig_Reactome,NUP155
IFNsig_Reactome,NUP188
IFNsig_Reactome,NUP205
IFNsig_Reactome,NUP210
IFNsig_Reactome,NUP214
IFNsig_Reactome,NUP35
IFNsig_Reactome,NUP37
IFNsig_Reactome,NUP43
IFNsig_Reactome,NUP50
IFNsig_Reactome,NUP54
IFNsig_Reactome,NUP62
IFNsig_Reactome,NUP85
IFNsig_Reactome,NUP88
IFNsig_Reactome,NUP93
IFNsig_Reactome,NUPL1
IFNsig_Reactome,NUPL2
IFNsig_Reactome,OAS1
IFNsig_Reactome,OAS2
IFNsig_Reactome,OAS3
IFNsig_Reactome,OASL
IFNsig_Reactome,PIAS1
IFNsig_Reactome,PIN1
IFNsig_Reactome,PLCG1
IFNsig_Reactome,PML
IFNsig_Reactome,POM121
IFNsig_Reactome,PPM1B
IFNsig_Reactome,PRKCD
IFNsig_Reactome,PSMB8
IFNsig_Reactome,PTAFR
IFNsig_Reactome,PTPN1
IFNsig_Reactome,PTPN2
IFNsig_Reactome,PTPN6
IFNsig_Reactome,RAE1
IFNsig_Reactome,RANBP2
IFNsig_Reactome,RNASEL
IFNsig_Reactome,RPS27A
IFNsig_Reactome,SEH1L
IFNsig_Reactome,SOCS1
IFNsig_Reactome,SOCS3
IFNsig_Reactome,SP100
IFNsig_Reactome,STAT1
IFNsig_Reactome,STAT2
IFNsig_Reactome,SUMO1
IFNsig_Reactome,TPR
IFNsig_Reactome,TRIM25
IFNsig_Reactome,TYK2
IFNsig_Reactome,UBA52
IFNsig_Reactome,UBA7
IFNsig_Reactome,UBE2E1
IFNsig_Reactome,UBE2L6
IFNsig_Reactome,UBE2N
IFNsig_Reactome,USP18
IFNsig_Reactome,VCAM1
IFNsig_Reactome,XAF1
Y-STAT1_Gstark_2013,ARHGAP27
Y-STAT1_Gstark_2013,B3GALNT1
Y-STAT1_Gstark_2013,BLZF1
Y-STAT1_Gstark_2013,AIDA
Y-STAT1_Gstark_2013,CUTA
Y-STAT1_Gstark_2013,CXCL16
Y-STAT1_Gstark_2013,CXorf38
Y-STAT1_Gstark_2013,DLL1
Y-STAT1_Gstark_2013,EHD4
Y-STAT1_Gstark_2013,EIF2AK2
Y-STAT1_Gstark_2013,FAM46A
Y-STAT1_Gstark_2013,C19orf66
Y-STAT1_Gstark_2013,HES4
Y-STAT1_Gstark_2013,HLA-F
Y-STAT1_Gstark_2013,IFI16
Y-STAT1_Gstark_2013,INSIG1
Y-STAT1_Gstark_2013,LAMA1
Y-STAT1_Gstark_2013,MASTL
Y-STAT1_Gstark_2013,SLFN5
Y-STAT1_Gstark_2013,MT1M
Y-STAT1_Gstark_2013,MYD88
Y-STAT1_Gstark_2013,NCOA7
Y-STAT1_Gstark_2013,NFE2L3
Y-STAT1_Gstark_2013,NUDCD1
Y-STAT1_Gstark_2013,OGFR
Y-STAT1_Gstark_2013,PANX1
Y-STAT1_Gstark_2013,PARP10
Y-STAT1_Gstark_2013,PCGF5
Y-STAT1_Gstark_2013,PHACTR4
Y-STAT1_Gstark_2013,PI4K2B
Y-STAT1_Gstark_2013,PLEKHA4
Y-STAT1_Gstark_2013,PNPT1
Y-STAT1_Gstark_2013,PPM1K
Y-STAT1_Gstark_2013,PRKD2
Y-STAT1_Gstark_2013,TMEM171
Y-STAT1_Gstark_2013,RAB20
Y-STAT1_Gstark_2013,RASGRP3
Y-STAT1_Gstark_2013,TRIM69
Y-STAT1_Gstark_2013,FAM122C
Y-STAT1_Gstark_2013,SAMD9
Y-STAT1_Gstark_2013,SOX9
Y-STAT1_Gstark_2013,STARD5
Y-STAT1_Gstark_2013,TDRD7
Y-STAT1_Gstark_2013,TGM2
Y-STAT1_Gstark_2013,TNFAIP6
Y-STAT1_Gstark_2013,TRIM5
Y-STAT1_Gstark_2013,UBA7
Y-STAT1_Gstark_2013,UNC93B1
Y-STAT1_Gstark_2013,ZFYVE26
Y-STAT1_Gstark_2013,ADAR
Y-STAT1_Gstark_2013,IRF1
IRDS_49g,ALDH3A1
IRDS_49g,BST2
IRDS_49g,CA2
IRDS_49g,CCNA1
IRDS_49g,CD59
IRDS_49g,CXCL1
IRDS_49g,CXCL10
IRDS_49g,DAZ1
IRDS_49g,DCN
IRDS_49g,DDX60
IRDS_49g,GPATCH11
IRDS_49g,ISG15
IRDS_49g,IFI6
IRDS_49g,GALC
IRDS_49g,HERC6
IRDS_49g,HLA-B
IRDS_49g,HLA-G
IRDS_49g,HSD17B1
IRDS_49g,IFI27
IRDS_49g,IFI35
IRDS_49g,IFI44
IRDS_49g,IFI44L
IRDS_49g,IFIT1
IRDS_49g,IFIT3
IRDS_49g,IFITM1
IRDS_49g,IGF2
IRDS_49g,IRF7
IRDS_49g,LAMP3
IRDS_49g,LGALS3BP
IRDS_49g,LY6E
IRDS_49g,MCL1
IRDS_49g,MX1
IRDS_49g,MX2
IRDS_49g,OAS1
IRDS_49g,OAS3
IRDS_49g,OASL
IRDS_49g,PLSCR1
IRDS_49g,RAP2C
IRDS_49g,ROBO1
IRDS_49g,SERPINB2
IRDS_49g,SH3YL1
IRDS_49g,SLC6A15
IRDS_49g,STAT1
IRDS_49g,THBS1
IRDS_49g,TIMP3
IRDS_49g,NEAT1
IRDS_49g,TRIM14
IRDS_49g,USP18
IRDS_49g,ZNF273
IRDS_7g,STAT1
IRDS_7g,IFI44
IRDS_7g,IFIT3
IRDS_7g,OAS1
IRDS_7g,IFIT1
IRDS_7g,MX1
IRDS_7g,ISG15
U-ISGF3_Gstark_2013,BATF2
U-ISGF3_Gstark_2013,BST2
U-ISGF3_Gstark_2013,DDX58
U-ISGF3_Gstark_2013,DDX60
U-ISGF3_Gstark_2013,EPSTI1
U-ISGF3_Gstark_2013,ISG15
U-ISGF3_Gstark_2013,HERC5
U-ISGF3_Gstark_2013,HERC6
U-ISGF3_Gstark_2013,IFI27
U-ISGF3_Gstark_2013,IFI35
U-ISGF3_Gstark_2013,IFI44
U-ISGF3_Gstark_2013,IFI44L
U-ISGF3_Gstark_2013,IFIH1
U-ISGF3_Gstark_2013,IFIT1
U-ISGF3_Gstark_2013,IFIT3
U-ISGF3_Gstark_2013,IFITM1
U-ISGF3_Gstark_2013,IRF7
U-ISGF3_Gstark_2013,MX1
U-ISGF3_Gstark_2013,MX2
U-ISGF3_Gstark_2013,OAS1
U-ISGF3_Gstark_2013,OAS2
U-ISGF3_Gstark_2013,OAS3
U-ISGF3_Gstark_2013,OASL
U-ISGF3_Gstark_2013,PLSCR1
U-ISGF3_Gstark_2013,RTP4
U-ISGF3_Gstark_2013,STAT1
U-ISGF3_Gstark_2013,TMEM140
