ont,gene
Hmark_IFNa,ADAR
Hmark_IFNa,B2M
Hmark_IFNa,BATF2
Hmark_IFNa,BST2
Hmark_IFNa,C1S
Hmark_IFNa,CASP1
Hmark_IFNa,CASP8
Hmark_IFNa,CCRL2
Hmark_IFNa,CD47
Hmark_IFNa,CD74
Hmark_IFNa,CMPK2
Hmark_IFNa,CNP
Hmark_IFNa,CSF1
Hmark_IFNa,CXCL10
Hmark_IFNa,CXCL11
Hmark_IFNa,DDX60
Hmark_IFNa,DHX58
Hmark_IFNa,EIF2AK2
Hmark_IFNa,ELF1
Hmark_IFNa,EPSTI1
Hmark_IFNa,MVB12A
Hmark_IFNa,FAM46A
Hmark_IFNa,CMTR1
Hmark_IFNa,GBP2
Hmark_IFNa,GBP4
Hmark_IFNa,GMPR
Hmark_IFNa,HERC6
Hmark_IFNa,HLA-C
Hmark_IFNa,IFI27
Hmark_IFNa,IFI30
Hmark_IFNa,IFI35
Hmark_IFNa,IFI44
Hmark_IFNa,IFI44L
Hmark_IFNa,IFIH1
Hmark_IFNa,IFIT2
Hmark_IFNa,IFIT3
Hmark_IFNa,IFITM1
Hmark_IFNa,IFITM2
Hmark_IFNa,IFITM3
Hmark_IFNa,IL15
Hmark_IFNa,IL4R
Hmark_IFNa,IL7
Hmark_IFNa,IRF1
Hmark_IFNa,IRF2
Hmark_IFNa,IRF7
Hmark_IFNa,IRF9
Hmark_IFNa,ISG15
Hmark_IFNa,ISG20
Hmark_IFNa,LAMP3
Hmark_IFNa,LAP3
Hmark_IFNa,LGALS3BP
Hmark_IFNa,LPAR6
Hmark_IFNa,LY6E
Hmark_IFNa,MOV10
Hmark_IFNa,MX1
Hmark_IFNa,NCOA7
Hmark_IFNa,NMI
Hmark_IFNa,NUB1
Hmark_IFNa,OAS1
Hmark_IFNa,OASL
Hmark_IFNa,OGFR
Hmark_IFNa,PARP12
Hmark_IFNa,PARP14
Hmark_IFNa,PARP9
Hmark_IFNa,PLSCR1
Hmark_IFNa,PNPT1
Hmark_IFNa,HELZ2
Hmark_IFNa,PROCR
Hmark_IFNa,PSMA3
Hmark_IFNa,PSMB8
Hmark_IFNa,PSMB9
Hmark_IFNa,PSME1
Hmark_IFNa,PSME2
Hmark_IFNa,RIPK2
Hmark_IFNa,RNF31
Hmark_IFNa,RSAD2
Hmark_IFNa,RTP4
Hmark_IFNa,SAMD9
Hmark_IFNa,SAMD9L
Hmark_IFNa,SELL
Hmark_IFNa,SLC25A28
Hmark_IFNa,SP110
Hmark_IFNa,STAT2
Hmark_IFNa,TAP1
Hmark_IFNa,TDRD7
Hmark_IFNa,TMEM140
Hmark_IFNa,TRAFD1
Hmark_IFNa,TRIM14
Hmark_IFNa,TRIM21
Hmark_IFNa,TRIM25
Hmark_IFNa,TRIM26
Hmark_IFNa,TRIM5
Hmark_IFNa,TXNIP
Hmark_IFNa,UBA7
Hmark_IFNa,UBE2L6
Hmark_IFNa,USP18
Hmark_IFNa,WARS
Hmark_IFNg,ADAR
Hmark_IFNg,APOL6
Hmark_IFNg,ARID5B
Hmark_IFNg,ARL4A
Hmark_IFNg,AUTS2
Hmark_IFNg,B2M
Hmark_IFNg,BANK1
Hmark_IFNg,BATF2
Hmark_IFNg,BPGM
Hmark_IFNg,BST2
Hmark_IFNg,BTG1
Hmark_IFNg,C1R
Hmark_IFNg,C1S
Hmark_IFNg,CASP1
Hmark_IFNg,CASP3
Hmark_IFNg,CASP4
Hmark_IFNg,CASP7
Hmark_IFNg,CASP8
Hmark_IFNg,CCL2
Hmark_IFNg,CCL5
Hmark_IFNg,CCL7
Hmark_IFNg,CD274
Hmark_IFNg,CD38
Hmark_IFNg,CD40
Hmark_IFNg,CD69
Hmark_IFNg,CD74
Hmark_IFNg,CD86
Hmark_IFNg,CDKN1A
Hmark_IFNg,CFB
Hmark_IFNg,CFB
Hmark_IFNg,CFH
Hmark_IFNg,CIITA
Hmark_IFNg,CMKLR1
Hmark_IFNg,CMPK2
Hmark_IFNg,CSF2RB
Hmark_IFNg,CXCL10
Hmark_IFNg,CXCL11
Hmark_IFNg,CXCL9
Hmark_IFNg,DDX58
Hmark_IFNg,DDX60
Hmark_IFNg,DHX58
Hmark_IFNg,EIF2AK2
Hmark_IFNg,EIF4E3
Hmark_IFNg,EPSTI1
Hmark_IFNg,FAS
Hmark_IFNg,FCGR1A
Hmark_IFNg,FGL2
Hmark_IFNg,FPR1
Hmark_IFNg,CMTR1
Hmark_IFNg,GBP4
Hmark_IFNg,GBP6
Hmark_IFNg,GCH1
Hmark_IFNg,GPR18
Hmark_IFNg,GZMA
Hmark_IFNg,HERC6
Hmark_IFNg,HIF1A
Hmark_IFNg,HLA-A
Hmark_IFNg,HLA-B
Hmark_IFNg,HLA-DMA
Hmark_IFNg,HLA-DQA1
Hmark_IFNg,HLA-DRB1
Hmark_IFNg,HLA-G
Hmark_IFNg,ICAM1
Hmark_IFNg,IDO1
Hmark_IFNg,IFI27
Hmark_IFNg,IFI30
Hmark_IFNg,IFI35
Hmark_IFNg,IFI44
Hmark_IFNg,IFI44L
Hmark_IFNg,IFIH1
Hmark_IFNg,IFIT1
Hmark_IFNg,IFIT2
Hmark_IFNg,IFIT3
Hmark_IFNg,IFITM2
Hmark_IFNg,IFITM3
Hmark_IFNg,IFNAR2
Hmark_IFNg,IL10RA
Hmark_IFNg,IL15
Hmark_IFNg,IL15RA
Hmark_IFNg,IL18BP
Hmark_IFNg,IL2RB
Hmark_IFNg,IL4R
Hmark_IFNg,IL6
Hmark_IFNg,IL7
Hmark_IFNg,IRF1
Hmark_IFNg,IRF2
Hmark_IFNg,IRF4
Hmark_IFNg,IRF5
Hmark_IFNg,IRF7
Hmark_IFNg,IRF8
Hmark_IFNg,IRF9
Hmark_IFNg,ISG15
Hmark_IFNg,ISG20
Hmark_IFNg,ISOC1
Hmark_IFNg,ITGB7
Hmark_IFNg,JAK2
Hmark_IFNg,KLRK1
Hmark_IFNg,LAP3
Hmark_IFNg,LATS2
Hmark_IFNg,LCP2
Hmark_IFNg,LGALS3BP
Hmark_IFNg,LY6E
Hmark_IFNg,LYSMD2
Hmark_IFNg,MARCH1
Hmark_IFNg,METTL7B
Hmark_IFNg,MT2A
Hmark_IFNg,MTHFD2
Hmark_IFNg,MVP
Hmark_IFNg,MX1
Hmark_IFNg,MX2
Hmark_IFNg,MYD88
Hmark_IFNg,NAMPT
Hmark_IFNg,NCOA3
Hmark_IFNg,NFKB1
Hmark_IFNg,NFKBIA
Hmark_IFNg,NLRC5
Hmark_IFNg,NMI
Hmark_IFNg,NOD1
Hmark_IFNg,NUP93
Hmark_IFNg,OAS2
Hmark_IFNg,OAS3
Hmark_IFNg,OASL
Hmark_IFNg,OGFR
Hmark_IFNg,P2RY14
Hmark_IFNg,PARP12
Hmark_IFNg,PARP14
Hmark_IFNg,PDE4B
Hmark_IFNg,PELI1
Hmark_IFNg,PFKP
Hmark_IFNg,PIM1
Hmark_IFNg,PLA2G4A
Hmark_IFNg,PLSCR1
Hmark_IFNg,PML
Hmark_IFNg,PNP
Hmark_IFNg,PNPT1
Hmark_IFNg,HELZ2
Hmark_IFNg,PSMA2
Hmark_IFNg,PSMA2
Hmark_IFNg,PSMA3
Hmark_IFNg,PSMB10
Hmark_IFNg,PSMB2
Hmark_IFNg,PSMB8
Hmark_IFNg,PSMB9
Hmark_IFNg,PSME1
Hmark_IFNg,PSME2
Hmark_IFNg,PTGS2
Hmark_IFNg,PTPN1
Hmark_IFNg,PTPN2
Hmark_IFNg,PTPN6
Hmark_IFNg,RAPGEF6
Hmark_IFNg,RBCK1
