Sample,PC1.v,PC2.v
TCGA.38.4627.11,-111.4014134,81.44246977
TCGA.91.6849.11,-100.7431823,72.53306149
TCGA.49.4490.11,-106.2079659,76.12354807
TCGA.91.6828.11,-102.4408613,77.83703355
TCGA.44.6148.11,-86.2007718,55.73133074
TCGA.55.6983.11,-91.26673093,92.81323473
TCGA.55.6985.11,-91.00134133,83.66872108
TCGA.38.4632.11,-102.3604969,94.36260233
TCGA.38.4626.11,-107.3610032,93.14345092
TCGA.91.6835.11,-77.6462484,55.41188618
TCGA.55.6984.11,-99.2993668,83.75863514
TCGA.55.6978.11,-96.18412737,81.08938666
TCGA.55.6970.11,-95.24823014,87.52628803
TCGA.49.6742.11,-93.83507206,77.52071383
TCGA.44.6777.11,-110.2846389,85.98933117
TCGA.55.6981.11,-72.40983216,69.75504285
S00022,189.7713952,-44.8979481
S00035T,137.0404213,2.784999336
S00825,78.86884219,33.10548933
S00829,104.0883608,0.747544242
S00832,168.7432393,-13.00406635
S00838,108.4809369,-9.367425412
S01242,133.2224092,19.45238391
S01297T,124.9143177,24.1410102
S01366,178.7905579,-18.18757909
S01512,163.6692076,-7.493821128
S01524,149.000125,2.566819193
S01542,92.1433844,16.76215192
S01578,155.9972317,-8.548686526
S01861T,110.8908786,23.3992979
S01864,125.4689681,12.30942046
S01873T,115.1087792,15.24269884
S02065,201.0713164,-19.87130602
S02093,82.36305219,37.79961563
S02120,171.2432268,-16.14137645
S02139,141.8792874,-32.33662562
S02163,166.7895702,-29.94106383
S02194,102.3985896,-1.029641892
S02209,45.07365806,35.36809905
S02241,160.1105186,-23.82019926
S02242,130.3822136,10.0261526
S02243,168.2929665,-9.60906046
S02244,155.4211297,2.896344331
S02246,-65.91514816,53.0302812
S02248,156.745311,5.23736562
S02249,107.4180909,32.24054813
S02256,126.6641873,-19.08242284
S02284,141.2151556,2.097466019
S02285,196.4685165,-26.53051812
S02286,82.94997947,9.761977271
S02287,159.0871723,-23.0883327
S02288,84.68431311,16.96092748
S02289,184.4118135,-13.11895115
S02290,148.03549,-18.44020346
S02291,114.6604951,22.7402152
S02293,185.1406819,-37.2314738
S02294,188.6603498,-39.03603521
S02295,178.8276487,-15.80063089
S02296,71.67360606,36.71724403
S02297,137.1234323,-28.20990723
S02298,75.32273793,-8.560301534
S02299,73.40233863,38.59191818
S02328,50.33457126,54.40263547
S02375T,114.0120961,9.078380424
S02376T,134.1580702,15.64730134
S02378T,89.01259056,23.88595993
S02382T,134.575447,-26.68256579
S00213,111.8573669,29.81743634
S00831,102.7726192,9.509120302
S02322,151.724001,-11.1893232
S02360,162.6470839,-25.85724411
S02397,141.8861693,-1.345148458
TCGA.86.8358.01,108.7018975,11.7837872
TCGA.44.A4SS.01,-23.41114332,55.08376982
TCGA.L4.A4E6.01,-73.49158282,83.17342935
TCGA.95.7562.01,-3.860859835,45.2608174
TCGA.97.8176.01,-22.50538029,59.85643473
TCGA.05.5425.01,-38.09710376,79.78500473
TCGA.75.6211.01,21.67944518,43.75572333
TCGA.53.7813.01,7.118412608,52.79806982
TCGA.91.6840.01,1.008067195,45.69784535
TCGA.97.8172.01,-44.45457584,55.35773308
TCGA.50.8457.01,-54.42529744,60.18967659
TCGA.67.6216.01,-42.71689625,66.79956465
TCGA.55.8204.01,-30.50505836,41.74879782
TCGA.44.5643.01,3.887981883,22.84320901
TCGA.93.A4JN.01,-11.35659013,52.45461052
TCGA.55.5899.01,58.05459611,22.20234161
TCGA.55.8511.01,-22.84096754,75.28943317
TCGA.50.5066.02,6.365081172,34.91574522
TCGA.L9.A5IP.01,-8.023738631,39.15970724
TCGA.05.4384.01,-57.79099194,60.94047811
TCGA.69.8254.01,-62.17702652,66.58631486
TCGA.91.8496.01,-82.81562439,81.38277656
TCGA.55.7725.01,-54.35446565,76.76847623
TCGA.44.6779.01,-38.93609234,61.01643235
TCGA.50.6595.01,-28.18052687,59.97928214
TCGA.75.6203.01,-89.93545086,79.61987803
TCGA.55.6975.01,-13.26094997,36.05873335
TCGA.35.5375.01,17.52039889,33.24355448
TCGA.78.7161.01,-11.29368658,37.2264008
TCGA.44.6145.01,-47.20196555,77.03666029
TCGA.86.7955.01,23.47010052,23.55335116
TCGA.J2.8194.01,-45.68704511,63.7112023
TCGA.50.6590.01,8.577373609,50.27706179
TCGA.49.AARN.01,-15.64152255,44.85964999
TCGA.NJ.A55O.01,-49.59360081,63.36585355
TCGA.86.8073.01,-22.97688729,51.67917915
TCGA.50.5045.01,-48.50865759,80.804136
TCGA.44.7669.01,42.39295045,47.37249323
TCGA.69.8255.01,21.36834068,54.3524347
TCGA.73.4676.01,-38.33630096,69.009622
TCGA.91.A4BC.01,18.85504749,46.93839219
TCGA.MP.A4TA.01,11.61070625,46.18053738
TCGA.93.A4JO.01,-35.59129912,69.97021361
TCGA.MP.A4TE.01,24.51794512,31.38327556
TCGA.64.1679.01,-19.25902194,51.08761765
TCGA.44.2668.01,-5.776865542,62.71341596
TCGA.44.4112.01,1.785692571,47.97529484
TCGA.55.A48X.01,-35.82166368,67.51626257
TCGA.NJ.A4YI.01,-27.62055181,63.27781032
TCGA.49.4487.01,-11.21864598,69.08101553
TCGA.73.4666.01,-17.50529494,82.4409968
TCGA.L9.A50W.01,-37.35839693,55.08613114
TCGA.78.7145.01,-30.01074446,71.33743728
TCGA.44.8120.01,-47.13888942,58.27818611
TCGA.49.AAR4.01,-6.19794304,63.47226735
TCGA.78.7166.01,-14.35325392,43.8363341
TCGA.50.5049.01,-37.8800306,73.64777694
TCGA.J2.A4AE.01,-39.54359107,69.37956941
TCGA.99.7458.01,-44.09526295,72.38355789
TCGA.50.5939.01,-45.78147677,70.9176712
TCGA.62.A471.01,9.463231189,41.15774458
TCGA.75.5125.01,-14.50444154,72.6531874
TCGA.05.4398.01,-7.869980606,72.04089437
TCGA.50.5936.01,-24.95431052,51.00293506
TCGA.55.8506.01,-16.60890708,76.45840465
TCGA.78.7150.01,5.609631734,26.7966383
TCGA.91.6835.01,-23.85787644,65.49569715
TCGA.55.8620.01,88.45989839,25.31351739
TCGA.44.2666.01,-41.21768656,51.62573925
TCGA.44.3396.01,-17.58863073,74.9996
TCGA.55.6970.01,-40.323692,71.95293183
TCGA.55.6712.01,-41.46938622,73.38030563
