Geneid,log2_cpm_mean
ENSG00000051825,7.175294586646133
ENSG00000069206,3.47817270145329
ENSG00000086205,10.331865653938847
ENSG00000091972,-2.5294851824670648
ENSG00000096060,6.960085112136641
ENSG00000101958,-3.276599319463863
ENSG00000104419,5.613633805044631
ENSG00000110931,5.929063354782163
ENSG00000111885,1.5938741224740138
ENSG00000118579,6.052339536724282
ENSG00000118985,6.607835842965267
ENSG00000123983,8.617880789411418
ENSG00000124225,7.157543207439538
ENSG00000124713,2.9809635791331894
ENSG00000125257,8.763995574555526
ENSG00000138641,7.155067874720663
ENSG00000141720,6.981308531736716
ENSG00000142515,10.822192799201988
ENSG00000145088,2.5032849802975825
ENSG00000166451,7.221937373348902
ENSG00000166974,3.9100369197498264
ENSG00000167034,9.150408111573622
ENSG00000167751,7.701415855176347
ENSG00000169083,8.791314651854657
ENSG00000174292,3.330830771590414
ENSG00000178573,4.204973415090654
ENSG00000182795,7.686585435359972
ENSG00000184012,8.338489320887858
ENSG00000197226,7.906755533427864
ENSG00000205189,7.810407811480688
