Geneid,log2_rpkm_mean
ENSG00000051825,3.815229832695353
ENSG00000069206,2.732680363161516
ENSG00000086205,8.384689578663476
ENSG00000091972,-3.949725261408213
ENSG00000096060,3.671466207082261
ENSG00000101958,-5.169184634656517
ENSG00000104419,2.937085021509105
ENSG00000110931,3.1516807007514256
ENSG00000111885,-0.40538321406878636
ENSG00000118579,2.6292879373326112
ENSG00000118985,3.756786912619117
ENSG00000123983,6.135401152180781
ENSG00000124225,4.928730102953854
ENSG00000124713,3.105416380163028
ENSG00000125257,5.907888465890899
ENSG00000138641,4.156075350132854
ENSG00000141720,4.343920966738775
ENSG00000142515,8.765955098229892
ENSG00000145088,1.9218722873123681
ENSG00000166451,5.562758041181784
ENSG00000166974,1.3631572607432463
ENSG00000167034,7.711239387281042
ENSG00000167751,5.231681576963196
ENSG00000169083,5.15608428108525
ENSG00000174292,1.173984471900145
ENSG00000178573,2.316592505392696
ENSG00000182795,5.221043838977109
ENSG00000184012,6.225673876659576
ENSG00000197226,4.3194310298028125
ENSG00000205189,4.667166447978363
