Sample,Relative_Sensitivity_Score,type
TCGA.OR.A5JX.01,0.440176589,ACC
TCGA.OR.A5JC.01,0.467113809,ACC
TCGA.PA.A5YG.01,0.531187182,ACC
TCGA.OR.A5J9.01,0.398682122,ACC
TCGA.OR.A5JW.01,1.191562379,ACC
TCGA.OR.A5K0.01,0.757688737,ACC
TCGA.OR.A5LB.01,0.919843973,ACC
TCGA.OR.A5JM.01,0.73192548,ACC
TCGA.OR.A5LM.01,0.509577689,ACC
TCGA.OR.A5JQ.01,0.571953603,ACC
TCGA.OR.A5LE.01,-0.477146309,ACC
TCGA.OR.A5K9.01,1.215595755,ACC
TCGA.OR.A5LO.01,0.347443929,ACC
TCGA.PK.A5HA.01,0.65214484,ACC
TCGA.OR.A5J2.01,0.247249537,ACC
TCGA.OR.A5JR.01,0.953018149,ACC
TCGA.OR.A5K3.01,0.379714429,ACC
TCGA.OR.A5J6.01,1.995502031,ACC
TCGA.OR.A5JI.01,0.72072449,ACC
TCGA.OR.A5JJ.01,-0.469219541,ACC
TCGA.OR.A5J7.01,1.183658059,ACC
TCGA.OR.A5KY.01,0.337272853,ACC
TCGA.OR.A5KW.01,0.389862942,ACC
TCGA.OR.A5K5.01,1.031800294,ACC
TCGA.P6.A5OG.01,2.931006396,ACC
TCGA.OR.A5JL.01,1.306257519,ACC
TCGA.OR.A5LL.01,1.492207954,ACC
TCGA.OR.A5LS.01,-0.150505435,ACC
TCGA.OR.A5K8.01,1.115795645,ACC
TCGA.OR.A5J1.01,0.684088686,ACC
TCGA.OR.A5KT.01,1.333357906,ACC
TCGA.OR.A5K6.01,0.835732749,ACC
TCGA.OR.A5J8.01,1.326751816,ACC
TCGA.OR.A5KU.01,0.523296831,ACC
TCGA.OR.A5L9.01,1.374162943,ACC
TCGA.OR.A5L5.01,1.19030661,ACC
TCGA.OR.A5JA.01,0.605688587,ACC
TCGA.OR.A5JE.01,1.091008424,ACC
TCGA.OR.A5JG.01,1.270998464,ACC
TCGA.OR.A5LC.01,1.580755552,ACC
TCGA.OR.A5JP.01,0.963155205,ACC
TCGA.OR.A5K1.01,1.37058565,ACC
TCGA.OR.A5L3.01,0.551111789,ACC
TCGA.PK.A5HB.01,1.343531302,ACC
TCGA.OU.A5PI.01,0.331939793,ACC
TCGA.OR.A5LT.01,0.077709,ACC
TCGA.OR.A5KV.01,0.202714341,ACC
TCGA.OR.A5LG.01,2.246235185,ACC
TCGA.OR.A5J5.01,0.385241189,ACC
TCGA.OR.A5K4.01,0.389323285,ACC
TCGA.OR.A5LK.01,0.750074604,ACC
TCGA.OR.A5JZ.01,1.673115132,ACC
TCGA.P6.A5OF.01,0.424041022,ACC
TCGA.OR.A5JF.01,0.735908878,ACC
TCGA.OR.A5JB.01,4.663004903,ACC
TCGA.OR.A5LP.01,0.976347376,ACC
TCGA.OR.A5JS.01,1.024592627,ACC
TCGA.OR.A5KX.01,0.745350955,ACC
TCGA.OR.A5LA.01,0.98561452,ACC
TCGA.OR.A5LH.01,0.595933433,ACC
TCGA.OR.A5JT.01,0.952284825,ACC
TCGA.OR.A5JO.01,2.084634575,ACC
TCGA.OR.A5JY.01,-0.058959378,ACC
TCGA.OR.A5L8.01,-0.333154812,ACC
TCGA.OR.A5JK.01,0.511114024,ACC
TCGA.OR.A5JV.01,-0.096911552,ACC
TCGA.OR.A5L6.01,1.066874688,ACC
TCGA.OR.A5J3.01,0.417284803,ACC
TCGA.OR.A5LN.01,1.308600978,ACC
TCGA.PK.A5H9.01,1.60595025,ACC
TCGA.OR.A5L4.01,1.04716034,ACC
TCGA.OR.A5LJ.01,0.561041545,ACC
TCGA.PK.A5H8.01,1.012229801,ACC
TCGA.OR.A5LD.01,1.063318613,ACC
TCGA.OR.A5KO.01,1.244364122,ACC
TCGA.OR.A5JD.01,1.067449953,ACC
TCGA.OR.A5KZ.01,0.738870775,ACC
TCGA.FD.A3N5.01,3.710804938,BLCA
TCGA.DK.A2I2.01,3.08930272,BLCA
TCGA.LT.A8JT.01,2.121774708,BLCA
TCGA.XF.A8HG.01,1.689965917,BLCA
TCGA.DK.AA6M.01,3.622900446,BLCA
TCGA.GV.A3QI.01,1.637561498,BLCA
TCGA.KQ.A41Q.01,2.705782869,BLCA
TCGA.XF.AAN1.01,1.904586742,BLCA
TCGA.K4.AAQO.01,1.588343133,BLCA
TCGA.4Z.AA86.01,3.163200372,BLCA
TCGA.ZF.AA5H.01,3.750600667,BLCA
TCGA.FD.A62O.01,1.930875939,BLCA
TCGA.GC.A3I6.01,4.081907956,BLCA
TCGA.G2.A3IB.01,5.178259013,BLCA
TCGA.GU.A766.01,4.257805917,BLCA
TCGA.GV.A3QG.01,1.73394901,BLCA
TCGA.BT.A20N.01,2.354081955,BLCA
TCGA.S5.AA26.01,1.771761831,BLCA
TCGA.GV.A6ZA.01,2.029317724,BLCA
TCGA.FD.A3SQ.01,2.034610413,BLCA
TCGA.XF.A9SK.01,2.319799428,BLCA
TCGA.GD.A3OS.01,1.710434113,BLCA
TCGA.BT.A3PJ.01,2.927326916,BLCA
TCGA.CF.A7I0.01,1.652412338,BLCA
TCGA.ZF.A9RM.01,2.57778512,BLCA
TCGA.BT.A20U.01,3.61475174,BLCA
TCGA.DK.A6B0.01,3.058753495,BLCA
TCGA.XF.AAMZ.01,1.482776178,BLCA
TCGA.G2.A2EF.01,2.783730212,BLCA
TCGA.G2.A2EC.01,2.540295578,BLCA
TCGA.FD.A62N.01,3.040495131,BLCA
TCGA.4Z.AA81.01,3.694086907,BLCA
TCGA.BL.A13J.01,1.474290305,BLCA
TCGA.4Z.AA7W.01,4.205242779,BLCA
TCGA.FD.A3B5.01,2.947338305,BLCA
TCGA.XF.AAMQ.01,2.814438352,BLCA
TCGA.2F.A9KP.01,2.2602391,BLCA
TCGA.XF.A9SX.01,2.976877281,BLCA
TCGA.UY.A9PD.01,2.142339054,BLCA
TCGA.DK.A3IN.01,2.276624101,BLCA
TCGA.FD.A43P.01,1.448475324,BLCA
TCGA.G2.A2ES.01,4.180945639,BLCA
TCGA.GD.A76B.01,1.866829118,BLCA
TCGA.K4.A3WU.01,1.267286099,BLCA
TCGA.BT.A0S7.01,1.631864418,BLCA
TCGA.DK.AA6T.01,1.099877522,BLCA
TCGA.ZF.AA4R.01,1.65115893,BLCA
TCGA.5N.A9KI.01,2.586819049,BLCA
TCGA.FD.A5BT.01,2.586031386,BLCA
TCGA.BT.A20T.01,2.525771196,BLCA
TCGA.BL.A13I.01,2.26973949,BLCA
TCGA.XF.AAMJ.01,2.117161234,BLCA
TCGA.GU.A767.01,2.092994694,BLCA
TCGA.DK.AA71.01,2.383894295,BLCA
TCGA.ZF.A9RE.01,2.712370765,BLCA
TCGA.4Z.AA7M.01,2.005388968,BLCA
TCGA.E7.A6MD.01,1.976139418,BLCA
TCGA.4Z.AA7O.01,3.100008269,BLCA
TCGA.CF.A47W.01,2.567258508,BLCA
TCGA.GC.A3OO.01,2.619214429,BLCA
TCGA.DK.AA6Q.01,3.573116023,BLCA
TCGA.ZF.AA4T.01,2.86184905,BLCA
TCGA.XF.AAMX.01,0.84883206,BLCA
TCGA.XF.AAME.01,2.273108341,BLCA
TCGA.GV.A3JZ.01,2.42776273,BLCA
TCGA.GU.A42Q.01,2.870676742,BLCA
TCGA.FD.A62P.01,2.598534002,BLCA
TCGA.FD.A43S.01,3.012911176,BLCA
TCGA.BL.A0C8.01,1.652406988,BLCA
TCGA.FD.A5C1.01,3.935471466,BLCA
TCGA.XF.AAMG.01,1.490187854,BLCA
TCGA.E7.A678.01,3.568470434,BLCA
TCGA.G2.AA3B.01,2.902589615,BLCA
TCGA.GV.A3JX.01,1.702323936,BLCA
TCGA.K4.A6FZ.01,4.030013796,BLCA
TCGA.GD.A3OQ.01,3.99582018,BLCA
TCGA.4Z.AA7R.01,0.839013264,BLCA
TCGA.GV.A40E.01,3.734493856,BLCA
TCGA.E5.A4TZ.01,2.498948447,BLCA
TCGA.DK.A1AB.01,2.174437425,BLCA
TCGA.E7.A7DV.01,3.942189308,BLCA
TCGA.KQ.A41O.01,1.649334897,BLCA
TCGA.UY.A9PF.01,2.807458921,BLCA
TCGA.DK.AA76.01,1.117363654,BLCA
TCGA.XF.A8HD.01,4.209327447,BLCA
TCGA.DK.A1A7.01,2.522607447,BLCA
TCGA.GV.A3JW.01,1.226051479,BLCA
TCGA.K4.A5RJ.01,1.834592035,BLCA
TCGA.YF.AA3L.01,2.737543495,BLCA
TCGA.BT.A42F.01,3.175188334,BLCA
TCGA.CU.A3YL.01,2.5512786,BLCA
TCGA.BT.A20O.01,2.320876637,BLCA
TCGA.E7.A7DU.01,2.366526154,BLCA
TCGA.CF.A9FL.01,2.220119447,BLCA
TCGA.HQ.A2OF.01,2.289777485,BLCA
TCGA.CU.A0YR.01,2.962699952,BLCA
TCGA.FD.A6TH.01,2.946771529,BLCA
TCGA.FD.A3B6.01,3.113142487,BLCA
TCGA.CF.A47T.01,2.720802809,BLCA
TCGA.GV.A40G.01,2.377348502,BLCA
TCGA.XF.A8HF.01,1.368134447,BLCA
TCGA.CF.A47V.01,2.443517629,BLCA
TCGA.FD.A5BS.01,2.559703784,BLCA
TCGA.GC.A3RB.01,3.179544563,BLCA
TCGA.CF.A3MG.01,2.909260413,BLCA
TCGA.BT.A3PH.01,2.278342594,BLCA
TCGA.4Z.AA7Q.01,3.5755566,BLCA
TCGA.ZF.AA4N.01,4.322696617,BLCA
TCGA.CF.A8HX.01,2.615837035,BLCA
TCGA.E7.A5KF.01,2.241950445,BLCA
TCGA.FJ.A3Z9.01,3.667897217,BLCA
TCGA.CU.A72E.01,3.15740913,BLCA
TCGA.H4.A2HO.01,1.649574164,BLCA
TCGA.BT.A20J.01,2.24492464,BLCA
TCGA.ZF.A9RL.01,2.50895557,BLCA
TCGA.E7.A4XJ.01,3.752858351,BLCA
TCGA.DK.A2I6.01,3.572739879,BLCA
TCGA.FD.A5BY.01,3.52291244,BLCA
TCGA.UY.A9PH.01,2.792347661,BLCA
TCGA.E7.A3X6.01,3.03700969,BLCA
TCGA.GU.A762.01,4.072133952,BLCA
TCGA.ZF.AA51.01,2.237282331,BLCA
TCGA.UY.A78O.01,2.620275109,BLCA
TCGA.XF.A9SU.01,2.484611375,BLCA
TCGA.ZF.AA54.01,2.453294726,BLCA
TCGA.K4.A6MB.01,1.747800328,BLCA
TCGA.DK.A3IS.01,2.779916114,BLCA
TCGA.DK.AA6L.01,2.584921603,BLCA
TCGA.DK.A6AV.01,2.111369679,BLCA
TCGA.ZF.A9R5.01,3.144810408,BLCA
TCGA.ZF.A9RN.01,1.871219609,BLCA
TCGA.K4.A3WS.01,1.91260745,BLCA
TCGA.K4.A4AB.01,2.951412396,BLCA
TCGA.XF.AAMW.01,3.397837284,BLCA
TCGA.YC.A89H.01,2.216049652,BLCA
TCGA.FD.A43N.01,2.296760465,BLCA
TCGA.4Z.AA7Y.01,3.385662568,BLCA
TCGA.DK.A1AE.01,3.38370039,BLCA
TCGA.K4.A5RH.01,2.00388777,BLCA
TCGA.FD.A43Y.01,3.808885787,BLCA
TCGA.ZF.A9R2.01,2.006760573,BLCA
TCGA.BT.A20W.01,1.644598329,BLCA
TCGA.XF.A9T8.01,3.093927709,BLCA
TCGA.GC.A3BM.01,2.398125808,BLCA
TCGA.CF.A9FF.01,2.045355756,BLCA
TCGA.GU.AATP.01,2.393550919,BLCA
TCGA.BL.A3JM.01,0.699460983,BLCA
TCGA.2F.A9KQ.01,2.316347183,BLCA
TCGA.DK.A1AC.01,1.266556707,BLCA
TCGA.SY.A9G5.01,3.222375944,BLCA
TCGA.KQ.A41P.01,2.970601186,BLCA
TCGA.G2.AA3C.01,3.141099812,BLCA
TCGA.FD.A3SS.01,3.024713956,BLCA
TCGA.LC.A66R.01,2.48574178,BLCA
TCGA.GU.AATQ.01,3.331234619,BLCA
TCGA.GU.AATO.01,2.868622984,BLCA
TCGA.XF.AAN4.01,2.030733903,BLCA
TCGA.2F.A9KW.01,1.880668088,BLCA
TCGA.FD.A6TF.01,2.508853976,BLCA
TCGA.XF.A9T4.01,3.864669038,BLCA
TCGA.DK.AA6X.01,2.440977852,BLCA
TCGA.XF.AAN2.01,3.791058743,BLCA
TCGA.UY.A9PA.01,3.727952554,BLCA
TCGA.ZF.AA4X.01,2.839160448,BLCA
TCGA.FD.A5BV.01,2.378585855,BLCA
TCGA.DK.A1AD.01,1.291027015,BLCA
TCGA.DK.AA6U.01,1.837452838,BLCA
TCGA.XF.A9T6.01,4.442058348,BLCA
TCGA.E7.A677.01,3.122736973,BLCA
TCGA.PQ.A6FN.01,3.619375266,BLCA
TCGA.GC.A4ZW.01,1.86771863,BLCA
TCGA.YC.A8S6.01,2.437533991,BLCA
TCGA.GD.A3OP.01,2.238480549,BLCA
TCGA.FJ.A871.01,3.430765813,BLCA
TCGA.GD.A6C6.01,3.263767047,BLCA
TCGA.ZF.AA4V.01,4.037714018,BLCA
TCGA.FD.A3B4.01,3.018861017,BLCA
TCGA.2F.A9KO.01,2.681642786,BLCA
TCGA.DK.A3IT.01,2.794963866,BLCA
TCGA.XF.A9SV.01,1.879396888,BLCA
TCGA.GV.A3QF.01,1.765391932,BLCA
TCGA.ZF.AA5N.01,4.113925442,BLCA
TCGA.KQ.A41N.01,2.554249886,BLCA
TCGA.E7.A97Q.01,1.417348364,BLCA
TCGA.XF.AAN0.01,2.842441088,BLCA
TCGA.BT.A42E.01,3.575304998,BLCA
TCGA.HQ.A5NE.01,3.228685688,BLCA
TCGA.DK.AA6S.01,1.9909169,BLCA
TCGA.DK.A3WX.01,2.806213719,BLCA
TCGA.GC.A6I1.01,3.851017988,BLCA
TCGA.E7.A8O7.01,2.912333464,BLCA
TCGA.DK.AA6W.01,0.15135353,BLCA
TCGA.DK.AA74.01,3.409271052,BLCA
TCGA.K4.A5RI.01,3.779160978,BLCA
TCGA.FT.A3EE.01,3.384130205,BLCA
TCGA.FD.A5C0.01,2.848629571,BLCA
TCGA.FD.A3SN.01,3.636980913,BLCA
TCGA.FD.A3NA.01,3.07342397,BLCA
TCGA.K4.A83P.01,1.391853806,BLCA
TCGA.PQ.A6FI.01,4.02483388,BLCA
TCGA.ZF.AA56.01,3.575061231,BLCA
TCGA.4Z.AA80.01,1.777003285,BLCA
TCGA.UY.A8OD.01,2.180347934,BLCA
TCGA.GV.A3QK.01,2.449347231,BLCA
TCGA.4Z.AA7S.01,2.047969463,BLCA
TCGA.FD.A6TD.01,3.50563853,BLCA
TCGA.CF.A9FH.01,2.946423354,BLCA
TCGA.E7.A541.01,2.383188131,BLCA
TCGA.DK.AA77.01,3.018324372,BLCA
TCGA.G2.A2EO.01,1.882091635,BLCA
TCGA.FJ.A3ZE.01,2.60617426,BLCA
TCGA.FD.A3SP.01,1.897152307,BLCA
TCGA.E7.A6MF.01,2.030685007,BLCA
TCGA.FJ.A3ZF.01,0.948689834,BLCA
TCGA.E5.A4U1.01,0.692138892,BLCA
TCGA.CF.A27C.01,2.876147116,BLCA
TCGA.UY.A78K.01,1.629733308,BLCA
TCGA.G2.A2EL.01,-2.13287253,BLCA
TCGA.FD.A5BU.01,3.016758808,BLCA
TCGA.HQ.A5ND.01,3.658462447,BLCA
TCGA.DK.A3WY.01,2.00335351,BLCA
TCGA.UY.A8OC.01,2.280526577,BLCA
TCGA.CF.A3MH.01,2.975755353,BLCA
TCGA.XF.A9T5.01,3.710988836,BLCA
TCGA.MV.A51V.01,2.510088924,BLCA
TCGA.XF.A9ST.01,1.981522401,BLCA
TCGA.DK.A1AA.01,3.410770265,BLCA
TCGA.C4.A0F0.01,3.467371012,BLCA
TCGA.BT.A20R.01,2.215062386,BLCA
TCGA.ZF.AA4W.01,4.031571412,BLCA
TCGA.GU.A764.01,2.439125305,BLCA
TCGA.ZF.A9R4.01,2.203531926,BLCA
TCGA.E7.A5KE.01,1.720200831,BLCA
TCGA.FD.A43X.01,2.167812536,BLCA
TCGA.BT.A2LD.01,2.356171088,BLCA
TCGA.CF.A5UA.01,2.29595375,BLCA
TCGA.GC.A6I3.01,2.011799058,BLCA
TCGA.4Z.AA83.01,2.685736202,BLCA
TCGA.ZF.A9R1.01,2.442894342,BLCA
TCGA.LT.A5Z6.01,2.463063943,BLCA
TCGA.E7.A8O8.01,2.306592366,BLCA
TCGA.DK.A3IQ.01,2.128722137,BLCA
TCGA.SY.A9G0.01,1.249891607,BLCA
TCGA.DK.A1A5.01,2.507145102,BLCA
TCGA.DK.A1A3.01,2.536002198,BLCA
TCGA.YF.AA3M.01,3.559375254,BLCA
TCGA.FD.A5BX.01,2.884086119,BLCA
TCGA.HQ.A2OE.01,2.207225256,BLCA
TCGA.XF.A9SP.01,2.144354096,BLCA
TCGA.E7.A6ME.01,-0.798322906,BLCA
TCGA.BT.A42C.01,2.216150971,BLCA
TCGA.XF.AAN7.01,0.106479387,BLCA
TCGA.XF.A8HE.01,2.889194806,BLCA
TCGA.E5.A2PC.01,4.03505032,BLCA
TCGA.ZF.A9RF.01,3.489818129,BLCA
TCGA.BT.A2LB.01,2.935700696,BLCA
TCGA.DK.A6B6.01,2.12489902,BLCA
TCGA.DK.A1AG.01,2.920802103,BLCA
TCGA.4Z.AA87.01,1.924617248,BLCA
TCGA.G2.A3VY.01,0.63865334,BLCA
TCGA.UY.A78P.01,3.396627851,BLCA
TCGA.DK.A3X2.01,1.871275088,BLCA
TCGA.FD.A6TE.01,3.080943373,BLCA
TCGA.FT.A61P.01,3.296074673,BLCA
TCGA.C4.A0F7.01,2.428274279,BLCA
TCGA.XF.AAN5.01,5.310593178,BLCA
TCGA.G2.A3IE.01,2.423443939,BLCA
TCGA.UY.A78M.01,2.510317222,BLCA
TCGA.XF.AAN3.01,3.397557436,BLCA
TCGA.DK.AA6R.01,3.565723004,BLCA
TCGA.DK.A6B2.01,1.830677348,BLCA
TCGA.GV.A3JV.01,1.825652782,BLCA
TCGA.FD.A3SJ.01,1.091399772,BLCA
TCGA.G2.A2EJ.01,3.609464697,BLCA
TCGA.DK.A3IL.01,2.256104975,BLCA
TCGA.FD.A6TA.01,2.747683631,BLCA
TCGA.GD.A2C5.01,1.785835246,BLCA
TCGA.E7.A97P.01,3.544409573,BLCA
TCGA.FD.A5BR.01,2.393923199,BLCA
TCGA.XF.A9SW.01,2.384701853,BLCA
TCGA.CU.A3KJ.01,2.904883701,BLCA
TCGA.DK.A6AW.01,4.333770479,BLCA
TCGA.E7.A7XN.01,3.425086502,BLCA
TCGA.UY.A78L.01,2.405264736,BLCA
TCGA.DK.A2I1.01,2.250745916,BLCA
TCGA.GC.A3YS.01,2.489923683,BLCA
TCGA.XF.A9SY.01,3.418841954,BLCA
TCGA.C4.A0F1.01,2.68604728,BLCA
TCGA.FD.A3B7.01,3.275365038,BLCA
TCGA.DK.AA75.01,1.103445135,BLCA
TCGA.DK.A3IK.01,2.121756186,BLCA
TCGA.C4.A0F6.01,1.732390265,BLCA
TCGA.GV.A3QH.01,1.470219044,BLCA
TCGA.XF.A9T0.01,1.970908617,BLCA
TCGA.CF.A1HR.01,2.735842302,BLCA
TCGA.K4.A4AC.01,4.162381764,BLCA
TCGA.BT.A0YX.01,3.346521904,BLCA
TCGA.XF.A8HB.01,3.864883233,BLCA
TCGA.2F.A9KT.01,1.654179677,BLCA
TCGA.BL.A5ZZ.01,1.988552449,BLCA
TCGA.BT.A2LA.01,-3.08877339,BLCA
TCGA.XF.AAMR.01,2.0156828,BLCA
TCGA.DK.A3IV.01,2.297386482,BLCA
TCGA.FD.A6TC.01,2.336965703,BLCA
TCGA.DK.A3IU.01,2.371202884,BLCA
TCGA.GU.A763.01,3.657001357,BLCA
TCGA.FJ.A3Z7.01,1.42910028,BLCA
TCGA.5N.A9KM.01,2.368554621,BLCA
TCGA.CF.A47X.01,1.170242841,BLCA
TCGA.XF.A8HC.01,1.862656182,BLCA
TCGA.E7.A3Y1.01,2.72005414,BLCA
TCGA.DK.A3X1.01,1.94245919,BLCA
TCGA.XF.A8HI.01,2.599128613,BLCA
TCGA.4Z.AA7N.01,1.99395538,BLCA
TCGA.DK.A2I4.01,3.469001014,BLCA
TCGA.UY.A78N.01,1.158862952,BLCA
TCGA.DK.A3IM.01,3.397210407,BLCA
TCGA.CF.A5U8.01,3.132597054,BLCA
TCGA.FD.A62S.01,2.363835651,BLCA
TCGA.FD.A3SL.01,1.811869535,BLCA
TCGA.ZF.A9R9.01,2.127910874,BLCA
TCGA.CF.A3MF.01,1.924374245,BLCA
TCGA.KQ.A41S.01,2.420176869,BLCA
TCGA.BT.A20Q.01,2.438071556,BLCA
TCGA.FD.A3SR.01,1.735848876,BLCA
TCGA.ZF.A9R7.01,3.183089876,BLCA
TCGA.XF.A8HH.01,2.208605468,BLCA
TCGA.FD.A6TI.01,3.017852284,BLCA
TCGA.DK.A1AF.01,2.752154113,BLCA
TCGA.XF.AAMT.01,2.748619246,BLCA
TCGA.UY.A9PB.01,3.020150966,BLCA
TCGA.E7.A7PW.01,1.52307118,BLCA
TCGA.E7.A85H.01,2.048095529,BLCA
TCGA.XF.A9SZ.01,2.715243252,BLCA
TCGA.DK.A2HX.01,2.840590331,BLCA
TCGA.S5.A6DX.01,3.36993535,BLCA
TCGA.BT.A20V.01,2.551474546,BLCA
TCGA.CF.A3MI.01,3.039896167,BLCA
TCGA.GC.A3RD.01,2.338000044,BLCA
TCGA.XF.A9T3.01,2.571476401,BLCA
TCGA.DK.A6B5.01,3.300661495,BLCA
TCGA.DK.A3WW.01,4.720734255,BLCA
TCGA.ZF.A9RC.01,2.017335574,BLCA
TCGA.CF.A1HS.01,2.681592402,BLCA
TCGA.GU.A42P.01,1.699566321,BLCA
TCGA.XF.A9SL.01,2.27335537,BLCA
TCGA.E7.A519.01,3.041523931,BLCA
TCGA.CU.A0YN.01,3.230155493,BLCA
TCGA.G2.A2EK.01,2.176036553,BLCA
TCGA.G2.AA3F.01,2.231595906,BLCA
TCGA.ZF.AA52.01,3.01131205,BLCA
TCGA.G2.AA3D.01,3.110456503,BLCA
TCGA.GC.A3RC.01,3.003166213,BLCA
TCGA.YC.A9TC.01,0.837656614,BLCA
TCGA.4Z.AA84.01,2.86624715,BLCA
TCGA.K4.A54R.01,2.658121675,BLCA
TCGA.XF.A9SM.01,2.726611868,BLCA
TCGA.FD.A3N6.01,3.893171173,BLCA
TCGA.GC.A3WC.01,1.980490861,BLCA
TCGA.DK.A6B1.01,1.586840669,BLCA
TCGA.FD.A3B8.01,2.723361374,BLCA
TCGA.BT.A20P.01,2.391271621,BLCA
TCGA.GU.A42R.01,2.803440875,BLCA
TCGA.BT.A20X.01,3.00029548,BLCA
TCGA.UY.A9PE.01,2.403996376,BLCA
TCGA.FD.A6TB.01,2.114549418,BLCA
TCGA.4Z.AA82.01,3.867152232,BLCA
TCGA.XF.A9SJ.01,3.287778413,BLCA
TCGA.H4.A2HQ.01,2.609574083,BLCA
TCGA.K4.A3WV.01,2.292648163,BLCA
TCGA.4Z.AA89.01,3.254927926,BLCA
TCGA.CF.A47Y.01,2.531065239,BLCA
TCGA.ZF.AA5P.01,2.141279972,BLCA
TCGA.C4.A0EZ.01,-0.95090576,BLCA
TCGA.ZF.A9R3.01,2.633723992,BLCA
TCGA.XF.AAML.01,2.84054182,BLCA
TCGA.XF.AAMH.01,0.914965351,BLCA
TCGA.CU.A5W6.01,3.038623738,BLCA
TCGA.CU.A0YO.01,3.054221311,BLCA
TCGA.R3.A69X.01,2.598747989,BLCA
TCGA.CF.A9FM.01,2.793198196,BLCA
TCGA.DK.AA6P.01,1.402272097,BLCA
TCGA.CF.A47S.01,2.987079338,BLCA
TCGA.FD.A6TG.01,1.311697432,BLCA
TCGA.UY.A8OB.01,4.465655561,BLCA
TCGA.FD.A3SM.01,2.38333661,BLCA
TCGA.ZF.AA4U.01,3.33040553,BLCA
TCGA.2F.A9KR.01,2.630688247,BLCA
TCGA.E7.A4IJ.01,1.810704208,BLCA
TCGA.FD.A43U.01,2.766837814,BLCA
TCGA.XF.A9SH.01,3.190729148,BLCA
TCGA.CF.A8HY.01,2.750736641,BLCA
TCGA.KQ.A41R.01,1.525612813,BLCA
TCGA.BT.A3PK.01,3.853111311,BLCA
TCGA.ZF.AA53.01,3.392810277,BLCA
TCGA.ZF.A9R0.01,2.35211473,BLCA
TCGA.XF.A9SI.01,1.907047229,BLCA
TCGA.CU.A3QU.01,2.818802624,BLCA
TCGA.FD.A6TK.01,3.094745436,BLCA
TCGA.DK.A1A6.01,2.692365797,BLCA
TCGA.XF.A9T2.01,1.759114886,BLCA
TCGA.ZF.AA58.01,3.390160374,BLCA
TCGA.FD.A3B3.01,2.314320929,BLCA
TCGA.FD.A5BZ.01,1.73702011,BLCA
TCGA.XF.AAMY.01,1.965324888,BLCA
TCGA.FD.A3SO.01,3.365458908,BLCA
TCGA.A8.A079.01,1.26375449,BRCA
TCGA.AR.A2LO.01,1.065864017,BRCA
TCGA.C8.A1HO.01,-1.047514192,BRCA
TCGA.A8.A09T.01,1.507309215,BRCA
TCGA.A7.A4SE.01,1.389909138,BRCA
TCGA.AR.A24O.01,1.027057675,BRCA
TCGA.A8.A0A4.01,1.171589848,BRCA
TCGA.A8.A08J.01,0.713000481,BRCA
TCGA.D8.A1XR.01,1.24576161,BRCA
TCGA.A7.A0DC.01,0.832039298,BRCA
TCGA.C8.A12X.01,1.633449458,BRCA
TCGA.AC.A8OR.01,1.454928534,BRCA
TCGA.A8.A076.01,1.582461598,BRCA
TCGA.C8.A273.01,1.017752584,BRCA
TCGA.A8.A09A.01,1.150359731,BRCA
TCGA.AC.A5XU.01,0.368139044,BRCA
TCGA.AR.A2LK.01,1.080123181,BRCA
TCGA.BH.A0HW.01,0.6885719,BRCA
TCGA.GM.A3XG.01,1.628486107,BRCA
TCGA.D8.A1JF.01,1.698667483,BRCA
TCGA.B6.A0RM.01,1.211786224,BRCA
TCGA.AN.A0AR.01,0.802180968,BRCA
TCGA.A2.A0T4.01,1.275730787,BRCA
TCGA.BH.A0DI.01,1.153759542,BRCA
TCGA.BH.A0AZ.01,1.404640231,BRCA
TCGA.LL.A50Y.01,1.458150409,BRCA
TCGA.BH.A0H9.01,0.94862645,BRCA
TCGA.AC.A8OQ.01,0.987629333,BRCA
TCGA.A2.A0YF.01,1.073729129,BRCA
TCGA.AR.A1AW.01,1.51129085,BRCA
TCGA.AO.A0JF.01,1.905693052,BRCA
TCGA.A2.A04T.01,0.872075596,BRCA
TCGA.D8.A143.01,1.256538776,BRCA
TCGA.A7.A13E.01,2.360863246,BRCA
TCGA.E9.A244.01,1.731076742,BRCA
TCGA.BH.A0E1.01,1.647722635,BRCA
TCGA.BH.A1FB.01,1.087211606,BRCA
TCGA.E9.A1NH.01,0.913007,BRCA
TCGA.C8.A1HE.01,0.756349891,BRCA
TCGA.AR.A1AS.01,2.098062307,BRCA
TCGA.AC.A3QP.01,1.900120643,BRCA
TCGA.E9.A1NF.01,1.746760605,BRCA
TCGA.EW.A6SC.01,0.554751938,BRCA
TCGA.A2.A04R.01,1.313948797,BRCA
TCGA.AC.A2FE.01,1.299840524,BRCA
TCGA.A7.A0DB.01,1.031872482,BRCA
TCGA.BH.A0DH.01,1.990105119,BRCA
TCGA.D8.A13Z.01,2.215226311,BRCA
TCGA.AO.A124.01,1.004999214,BRCA
TCGA.E2.A109.01,0.119872409,BRCA
TCGA.A2.A3KD.01,1.502817237,BRCA
TCGA.E2.A158.01,0.773387949,BRCA
TCGA.A2.A0CT.01,1.385159654,BRCA
TCGA.C8.A12V.01,1.659136455,BRCA
TCGA.AR.A2LL.01,1.953441129,BRCA
TCGA.BH.A18P.01,0.889057367,BRCA
TCGA.EW.A1J2.01,1.26897436,BRCA
TCGA.A2.A0T0.01,1.075924454,BRCA
