sample,fastq_1,fastq_2,replicate
H3K27ac_DF_2479_N,sra-files/SRR11856321.fastq.gz,,1
H3K27ac_DF_2480_N,sra-files/SRR11856322.fastq.gz,,1
H3K27ac_DF_2478_N,sra-files/SRR11856323.fastq.gz,,1
H3K27ac_DF_2477_N,sra-files/SRR11856324.fastq.gz,,1
H3K27ac_DF_2482_N,sra-files/SRR11856325.fastq.gz,,1
H3K27ac_DF_2319_N,sra-files/SRR11856326.fastq.gz,,1
H3K27ac_DF_2030_N,sra-files/SRR11856327.fastq.gz,,1
H3K27ac_DF_2076_N,sra-files/SRR11856328.fastq.gz,,1
H3K27ac_DF_2007_N,sra-files/SRR11856329.fastq.gz,,1
H3K27ac_DF_2228_N,sra-files/SRR11856330.fastq.gz,,1
H3K27ac_DF_2342_N,sra-files/SRR11856331.fastq.gz,,1
H3K27ac_DF_2078_N,sra-files/SRR11856332.fastq.gz,,1
H3K27ac_DF_2060_N,sra-files/SRR11856333.fastq.gz,,1
H3K27ac_DF_2079_N,sra-files/SRR11856334.fastq.gz,,1
H3K27ac_DF_2087_N,sra-files/SRR11856335.fastq.gz,,1
H3K27ac_DF_2113_N,sra-files/SRR11856336.fastq.gz,,1
H3K27ac_DF_2025_N,sra-files/SRR11856337.fastq.gz,,1
H3K27ac_DF_2137_N,sra-files/SRR11856338.fastq.gz,,1
H3K27ac_DF_2038_N,sra-files/SRR11856339.fastq.gz,,1
H3K27ac_DF_2192_N,sra-files/SRR11856340.fastq.gz,,1
H3K27ac_DF_2185_N,sra-files/SRR11856341.fastq.gz,,1
H3K27ac_DF_2173_N,sra-files/SRR11856342.fastq.gz,,1
H3K27ac_DF_2114_N,sra-files/SRR11856343.fastq.gz,,1
H3K27ac_DF_1962_N,sra-files/SRR11856344.fastq.gz,,1
H3K27ac_DF_2101_N,sra-files/SRR11856345.fastq.gz,,1
H3K27ac_DF_2088_N,sra-files/SRR11856346.fastq.gz,,1
H3K27ac_DF_2483_N,sra-files/SRR11856347.fastq.gz,,1
H3K27ac_DF_2484_N,sra-files/SRR11856348.fastq.gz,,1
H3K27AC_NKI_1_N,sra-files/SRR11856349.fastq.gz,,1
H3K27AC_NKI_13_N,sra-files/SRR11856350.fastq.gz,,1
H3K27AC_NKI_19_N,sra-files/SRR11856351.fastq.gz,,1
H3K27AC_NKI_25_N,sra-files/SRR11856352.fastq.gz,,1
H3K27AC_NKI_27_N,sra-files/SRR11856353.fastq.gz,,1
H3K27AC_NKI_29_N,sra-files/SRR11856354.fastq.gz,,1
H3K27AC_NKI_5_N,sra-files/SRR11856355.fastq.gz,,1
H3K27AC_NKI_7_N,sra-files/SRR11856356.fastq.gz,,1
H3K27ac_DF_2319_T,sra-files/SRR11856357.fastq.gz,,1
H3K27ac_DF_2030_T,sra-files/SRR11856358.fastq.gz,,1
H3K27ac_DF_2078_T,sra-files/SRR11856359.fastq.gz,,1
H3K27ac_DF_2076_T,sra-files/SRR11856360.fastq.gz,,1
H3K27ac_DF_2228_T,sra-files/SRR11856361.fastq.gz,,1
H3k27ac_DF_2060_T,sra-files/SRR11856362.fastq.gz,,1
H3k27ac_DF_2087_T,sra-files/SRR11856363.fastq.gz,,1
H3k27ac_DF_2113_T,sra-files/SRR11856364.fastq.gz,,1
H3k27ac_DF_2025_T,sra-files/SRR11856365.fastq.gz,,1
H3k27ac_DF_2038_T,sra-files/SRR11856366.fastq.gz,,1
