sample,fastq_1,fastq_2,replicate
H3k27ac_DF_2192_T,sra-files/SRR11856367.fastq.gz,,1
H3k27ac_DF_2185_T,sra-files/SRR11856368.fastq.gz,,1
H3k27ac_DF_2114_T,sra-files/SRR11856369.fastq.gz,,1
H3k27ac_DF_1962_T,sra-files/SRR11856370.fastq.gz,,1
H3k27ac_DF_2101_T,sra-files/SRR11856371.fastq.gz,,1
H3k27ac_DF_2173_T,sra-files/SRR11856372.fastq.gz,,1
H3k27ac_DF_2088_T,sra-files/SRR11856373.fastq.gz,,1
H3k27ac_DF_2137_T,sra-files/SRR11856374.fastq.gz,,1
H3K27ac_DF_2477_T,sra-files/SRR11856375.fastq.gz,,1
H3K27ac_DF_2478_T,sra-files/SRR11856376.fastq.gz,,1
H3K27ac_DF_2479_T,sra-files/SRR11856377.fastq.gz,,1
H3K27ac_DF_2482_T,sra-files/SRR11856378.fastq.gz,,1
H3k27ac_DF_2484_T,sra-files/SRR11856379.fastq.gz,,1
H3K27ac_DF_2480_T,sra-files/SRR11856380.fastq.gz,,1
H3K27AC_NKI_1_T,sra-files/SRR11856381.fastq.gz,,1
H3K27AC_NKI_5_T,sra-files/SRR11856382.fastq.gz,,1
H3K27AC_NKI_7_T,sra-files/SRR11856383.fastq.gz,,1
H3K27AC_NKI_13_T,sra-files/SRR11856384.fastq.gz,,1
H3K27AC_NKI_19_T,sra-files/SRR11856385.fastq.gz,,1
H3K27AC_NKI_23_T,sra-files/SRR11856386.fastq.gz,,1
H3K27AC_NKI_27_T,sra-files/SRR11856387.fastq.gz,,1
H3K27AC_NKI_29_T,sra-files/SRR11856388.fastq.gz,,1
K27ac_UW_PDX_70,sra-files/SRR11856389.fastq.gz,,1
K27ac_UW_PDX_35,sra-files/SRR11856390.fastq.gz,,1
K27ac_UW_PDX_77,sra-files/SRR11856391.fastq.gz,,1
K27ac_UW_PDX_58,sra-files/SRR11856392.fastq.gz,,1
K27ac_UW_PDX_78,sra-files/SRR11856393.fastq.gz,,1
K27ac_UW_PDX_81,sra-files/SRR11856394.fastq.gz,,1
K27ac_UW_PDX_86-2,sra-files/SRR11856395.fastq.gz,,1
K27ac_UW_PDX_92,sra-files/SRR11856396.fastq.gz,,1
K27ac_UW_PDX_136,sra-files/SRR11856397.fastq.gz,,1
K27ac_UW_PDX_141,sra-files/SRR11856398.fastq.gz,,1
K27ac_UW_PDX_167,sra-files/SRR11856399.fastq.gz,,1
K27ac_UW_PDX_170-2,sra-files/SRR11856400.fastq.gz,,1
K27ac_UW_PDX_170-3,sra-files/SRR11856401.fastq.gz,,1
K27ac_UW_PDX_189-3,sra-files/SRR11856402.fastq.gz,,1
K27ac_UW_PDX_189-4,sra-files/SRR11856403.fastq.gz,,1
