sample,fastq_1,fastq_2,replicate
K27ac_UW_PDX_70,/data/LGCP/freedman-chip/sra-files/SRR11856389.fastq.gz,,1
K27ac_UW_PDX_35,/data/LGCP/freedman-chip/sra-files/SRR11856390.fastq.gz,,1
K27ac_UW_PDX_77,/data/LGCP/freedman-chip/sra-files/SRR11856391.fastq.gz,,1
K27ac_UW_PDX_58,/data/LGCP/freedman-chip/sra-files/SRR11856392.fastq.gz,,1
K27ac_UW_PDX_78,/data/LGCP/freedman-chip/sra-files/SRR11856393.fastq.gz,,1
K27ac_UW_PDX_81,/data/LGCP/freedman-chip/sra-files/SRR11856394.fastq.gz,,1
K27ac_UW_PDX_86-2,/data/LGCP/freedman-chip/sra-files/SRR11856395.fastq.gz,,1
K27ac_UW_PDX_92,/data/LGCP/freedman-chip/sra-files/SRR11856396.fastq.gz,,1
K27ac_UW_PDX_136,/data/LGCP/freedman-chip/sra-files/SRR11856397.fastq.gz,,1
K27ac_UW_PDX_141,/data/LGCP/freedman-chip/sra-files/SRR11856398.fastq.gz,,1
K27ac_UW_PDX_167,/data/LGCP/freedman-chip/sra-files/SRR11856399.fastq.gz,,1
K27ac_UW_PDX_170-2,/data/LGCP/freedman-chip/sra-files/SRR11856400.fastq.gz,,1
K27ac_UW_PDX_170-3,/data/LGCP/freedman-chip/sra-files/SRR11856401.fastq.gz,,1
K27ac_UW_PDX_189-3,/data/LGCP/freedman-chip/sra-files/SRR11856402.fastq.gz,,1
K27ac_UW_PDX_189-4,/data/LGCP/freedman-chip/sra-files/SRR11856403.fastq.gz,,1
