GEO_Accession (exp),sample
GSM4928549,LuCaP_136CR_H3K27ac
GSM4928550,LuCaP_136_H3K27ac
GSM4928551,LuCaP_141_H3K27ac
GSM4928552,LuCaP_145.1_H3K27ac
GSM4928553,LuCaP_145.2_H3K27ac
GSM4928554,LuCaP_167_H3K27ac
GSM4928555,LuCaP_170.2_H3K27ac
GSM4928556,LuCaP_170.3_H3K27ac
GSM4928557,LuCaP_173.1_H3K27ac
GSM4928558,LuCaP_173.2_H3K27ac
GSM4928559,LuCaP_176_H3K27ac
GSM4928560,LuCaP_189.3_H3K27ac
GSM4928561,LuCaP_189.4_H3K27ac
GSM4928562,LuCaP_35_H3K27ac
GSM4928563,LuCaP_49_H3K27ac
GSM4928564,LuCaP_58_H3K27ac
GSM4928565,LuCaP_70CR_H3K27ac
GSM4928566,LuCaP_70_H3K27ac
GSM4928567,LuCaP_77CR_H3K27ac
GSM4928568,LuCaP_77_H3K27ac
GSM4928569,LuCaP_78CR_H3K27ac
GSM4928570,LuCaP_78_H3K27ac
GSM4928571,LuCaP_81CR_H3K27ac
GSM4928572,LuCaP_81_H3K27ac
GSM4928573,LuCaP_86.2_H3K27ac
GSM4928574,LuCaP_92_H3K27ac
GSM4928575,LuCaP_93_H3K27ac
GSM4928576,LuCaP_136CR_FOXA1
GSM4928577,LuCaP_136_FOXA1
GSM4928578,LuCaP_141_FOXA1
GSM4928579,LuCaP_145.1_FOXA1
GSM4928580,LuCaP_145.2_FOXA1
GSM4928581,LuCaP_167CR_FOXA1
GSM4928582,LuCaP_167_FOXA1
GSM4928583,LuCaP_170.2_FOXA1
GSM4928584,LuCaP_170.3_FOXA1
GSM4928585,LuCaP_173.1_FOXA1
GSM4928586,LuCaP_173.2_FOXA1
GSM4928587,LuCaP_176_FOXA1
GSM4928588,LuCaP_189.3_FOXA1
GSM4928589,LuCaP_189.4_FOXA1
GSM4928590,LuCaP_208.1_FOXA1
GSM4928591,LuCaP_35_FOXA1
GSM4928592,LuCaP_49_FOXA1
GSM4928593,LuCaP_58_FOXA1
GSM4928594,LuCaP_70CR_FOXA1
GSM4928595,LuCaP_70_FOXA1
GSM4928596,LuCaP_77CR_FOXA1
GSM4928597,LuCaP_77_FOXA1
GSM4928598,LuCaP_78CR_FOXA1
GSM4928599,LuCaP_78_FOXA1
GSM4928600,LuCaP_81CR_FOXA1
GSM4928601,LuCaP_81_FOXA1
GSM4928602,LuCaP_86.2_FOXA1
GSM4928603,LuCaP_92_FOXA1
GSM4928604,LuCaP_93_FOXA1
GSM4928605,LuCaP_145.1_H3K4me3
GSM4928606,LuCaP_145.2_H3K4me3
GSM4928607,LuCaP_173.1_H3K4me3
GSM4928608,LuCaP_49_H3K4me3
GSM4928609,LuCaP_58_H3K4me3
GSM4928610,LuCaP_77_H3K4me3
GSM4928611,LuCaP_78_H3K4me3
GSM4928612,LuCaP_81_H3K4me3
GSM4928613,LuCaP_92_H3K4me3
GSM4928614,LuCaP_93_H3K4me3
GSM4928615,LuCaP_145.1_H3K27me3
GSM4928616,LuCaP_145.2_H3K27me3
GSM4928617,LuCaP_173.1_H3K27me3
GSM4928618,LuCaP_49_H3K27me3
GSM4928619,LuCaP_58_H3K27me3
GSM4928620,LuCaP_77_H3K27me3
GSM4928621,LuCaP_78_H3K27me3
GSM4928622,LuCaP_81_H3K27me3
GSM4928623,LuCaP_92_H3K27me3
GSM4928624,LuCaP_93_H3K27me3
GSM4928625,LuCaP_136CR_INPUT
GSM4928626,LuCaP_136_INPUT
GSM4928627,LuCaP_141_INPUT
GSM4928628,LuCaP_145.1_INPUT
GSM4928629,LuCaP_145.2_INPUT
GSM4928630,LuCaP_167CR_INPUT
GSM4928631,LuCaP_167_INPUT
GSM4928632,LuCaP_170.2_INPUT
GSM4928633,LuCaP_170.3_INPUT
GSM4928634,LuCaP_173.1_INPUT
GSM4928635,LuCaP_173.2_INPUT
GSM4928636,LuCaP_176_INPUT
GSM4928637,LuCaP_189.3_INPUT
GSM4928638,LuCaP_189.4_INPUT
GSM4928639,LuCaP_208.1_INPUT
GSM4928640,LuCaP_49_INPUT
GSM4928641,LuCaP_58_INPUT
GSM4928642,LuCaP_70CR_INPUT
GSM4928643,LuCaP_70_INPUT
GSM4928644,LuCaP_77CR_INPUT
GSM4928645,LuCaP_77_INPUT
GSM4928646,LuCaP_78CR_INPUT
GSM4928647,LuCaP_78_INPUT
GSM4928648,LuCaP_81CR_INPUT
GSM4928649,LuCaP_81_INPUT
GSM4928650,LuCaP_86.2_INPUT
GSM4928651,LuCaP_92_INPUT
GSM4928652,LuCaP_93_INPUT
